set_no,name,price_store,price_new,price_used,rating_value,rating_votes,theme_group,theme,subtheme,main_tag,year,volume,weight,piece_cnt,minifig_cnt
6934-1,Good Guy,,15.0,6.0,3.7,3.0,Constraction,Bionicle,,,2006.0,,,16.0,0.0
6935-1,Bad Guy,,28.0,8.0,4.5,2.0,Constraction,Bionicle,,,2006.0,,,16.0,0.0
6936-1,Piraka & Catapult,,,16.0,,,Constraction,Bionicle,Playsets,,2006.0,,,20.0,1.0
6937-1,Give Away,,,8.0,,,Constraction,Bionicle,Playsets,,2006.0,,,17.0,2.0
7020-1,Army of Vikings with Heavy Artillery Wagon,30.0,78.0,52.0,4.8,10.0,Historical,Vikings,,,2006.0,,,312.0,7.0
7021-1,Viking Double Catapault versus the Armoured Ofnir Dragon,39.99,91.0,84.0,4.7,7.0,Historical,Vikings,,,2006.0,,,505.0,3.0
7215-1,Frame & Hairband,,1.0,,,,Girls,Clikits,,,2006.0,,,,0.0
7216-1,Gold Good Guy ,,11.0,3.0,,,Constraction,Bionicle,,,2006.0,,,22.0,0.0
7217-1,Duracell Bad Guy,,7.0,8.0,,,Constraction,Bionicle,,,2006.0,,,16.0,0.0
7237-2,Police Station,,163.0,51.0,,,Modern day,City,Police,,2006.0,25214.976,1.88,589.0,7.0
7261-2,"Clone Turbo Tank (non-light-up, 2006 edition)",90.0,250.0,139.0,,,Licensed,Star Wars,Episode III,,2006.0,,,813.0,8.0
7545-1,Pink & Pearls Jewels 'n' More,,31.0,,,,Girls,Clikits,,,2006.0,,,67.0,0.0
7546-1,Tropical Breeze Jewels 'n' More,,31.0,,,,Girls,Clikits,,,2006.0,,,72.0,0.0
7548-1,Fun Flamingo Frames 'n' More,,37.0,,,,Girls,Clikits,,,2006.0,3366.0,0.22,79.0,0.0
7549-1,Totally Tropical Décor Set,,,,,,Girls,Clikits,,,2006.0,,,130.0,0.0
7554-1,Pearly Pink Bracelet & Bands,,,,,,Girls,Clikits,,,2006.0,,,63.0,0.0
7555-1,Glitter & Sparkle Beauty Set,,,,,,Girls,Clikits,,,2006.0,,,57.0,0.0
7577-1,Winter Wonder Palace,69.99,117.0,57.0,,,Girls,Belville,,,2006.0,,,168.0,3.0
7578-1,Ultimate Princesses,49.99,,47.0,,,Girls,Belville,,,2006.0,,,149.0,2.0
7579-1,Blossom Fairy,9.99,28.0,16.0,3.0,1.0,Girls,Belville,,,2006.0,,,46.0,1.0
7601-1,Go-Kart,,,,,,Model making,Creator,,,2006.0,,,41.0,0.0
7602-1,Black SUV,,10.0,3.0,4.0,3.0,Model making,Creator,,,2006.0,,,46.0,0.0
7603-1,Dump Truck,,,,,,Model making,Creator,,,2006.0,,,33.0,0.0
7604-1,Triceratops,,10.0,2.0,3.8,5.0,Model making,Creator,,,2006.0,,,34.0,0.0
7605-1,Stegosaurus,,,,,,Model making,Creator,,,2006.0,,,47.0,0.0
7606-1,Frog,,16.0,4.0,4.0,3.0,Model making,Creator,,,2006.0,,,33.0,0.0
7607-1,Butterfly,,,,,,Model making,Creator,,,2006.0,,,29.0,0.0
7608-1,Dolphin,,,,,,Model making,Creator,,,2006.0,,,27.0,0.0
7609-1,Rescue Chopper,,4.0,2.0,4.5,2.0,Model making,Creator,,,2006.0,,,27.0,0.0
7610-1,Speedboat,,20.0,3.0,4.0,4.0,Model making,Creator,,,2006.0,,,18.0,0.0
7700-1,Stealth Hunter,14.99,58.0,17.0,3.9,19.0,Action/Adventure,Exo-Force,Original,,2006.0,,,164.0,1.0
7701-1,Grand Titan,15.0,64.0,18.0,4.3,16.0,Action/Adventure,Exo-Force,Original,,2006.0,,,196.0,1.0
7702-1,Thunder Fury,15.0,38.0,16.0,4.4,5.0,Action/Adventure,Exo-Force,Original,,2006.0,,,197.0,1.0
7703-1,Fire Vulture,15.0,32.0,18.0,3.8,6.0,Action/Adventure,Exo-Force,Original,,2006.0,,,177.0,1.0
7704-1,Sonic Phantom,20.0,40.0,15.0,4.0,8.0,Action/Adventure,Exo-Force,Original,,2006.0,4976.64,0.48,215.0,1.0
7705-1,Gate Assault,30.0,54.0,32.0,4.5,11.0,Action/Adventure,Exo-Force,Original,,2006.0,6635.52,0.73,402.0,5.0
7706-1,Mobile Defense Tank,30.0,90.0,30.0,3.7,9.0,Action/Adventure,Exo-Force,Original,,2006.0,6635.52,0.65,365.0,2.0
7707-1,Striking Venom,49.99,73.0,61.0,4.8,8.0,Action/Adventure,Exo-Force,Original,,2006.0,13271.04,1.34,646.0,6.0
7708-1,Uplink,5.0,15.0,7.0,4.2,19.0,Action/Adventure,Exo-Force,Original,,2006.0,,,69.0,1.0
7709-1,Sentai Fortress,100.0,150.0,104.0,4.7,11.0,Action/Adventure,Exo-Force,Original,,2006.0,28541.952,3.15,1448.0,8.0
7711-1,Sentry,4.99,18.0,9.0,4.5,15.0,Action/Adventure,Exo-Force,Original,,2006.0,,,78.0,1.0
7712-1,Supernova,20.0,95.0,59.0,3.9,10.0,Action/Adventure,Exo-Force,Original,,2006.0,,,287.0,1.0
7713-1,Bridge Walker and White Lightning,50.0,161.0,74.0,5.0,2.0,Action/Adventure,Exo-Force,Original,,2006.0,,,657.0,4.0
7716-1,QUICK Good Guy White,,8.0,,3.0,1.0,Constraction,Bionicle,,,2006.0,,,21.0,0.0
7717-1,QUICK Bad Guy Green,,15.0,7.0,,,Constraction,Bionicle,,,2006.0,,,26.0,0.0
7718-1,QUICK Bad Guy Yellow,,8.0,5.0,4.7,3.0,Constraction,Bionicle,,,2006.0,,,26.0,0.0
7719-1,QUICK Good Guy Red,,8.0,6.0,5.0,1.0,Constraction,Bionicle,,,2006.0,,,21.0,0.0
7779-1,The Batman Dragster: Catwoman Pursuit,10.0,152.0,36.0,3.7,17.0,Licensed,Batman,,,2006.0,2073.600000000001,0.18,92.0,2.0
7780-1,The Batboat: Hunt for Killer Croc,19.99,159.0,54.0,4.2,12.0,Licensed,Batman,,,2006.0,4976.64,0.46,188.0,2.0
7781-1,The Batmobile: Two-Face's Escape,29.99,191.0,89.0,4.5,31.0,Licensed,Batman,,,2006.0,6635.52,0.69,386.0,3.0
7782-1,The Batwing: The Joker's Aerial Assault,50.0,194.0,88.0,4.5,16.0,Licensed,Batman,,,2006.0,9953.28,0.99,523.0,3.0
7783-1,The Batcave: The Penguin and Mr. Freeze's Invasion,89.99,417.0,225.0,4.9,18.0,Licensed,Batman,,,2006.0,21233.664,2.31,1071.0,7.0
7784-1,The Batmobile: Ultimate Collectors' Edition,70.0,304.0,169.0,4.6,13.0,Licensed,Batman,,,2006.0,17694.719999999998,1.98,1045.0,0.0
7785-1,Arkham Asylum,79.99,300.0,196.0,3.9,14.0,Licensed,Batman,,,2006.0,,,860.0,7.0
7890-1,Ambulance,7.99,39.0,12.0,4.4,15.0,Modern day,City,Medical,,2006.0,1658.88,0.17,118.0,1.0
7891-1,Airport Fire Truck,14.99,44.0,15.0,4.2,10.0,Modern day,City,Airport,,2006.0,2073.600000000001,0.19,148.0,1.0
7892-1,Hospital,49.99,91.0,55.0,3.2,13.0,Modern day,City,Medical,,2006.0,17694.719999999998,1.33,382.0,4.0
7893-1,Passenger Plane,39.99,271.0,71.0,4.5,37.0,Modern day,City,Airport,,2006.0,15925.248,1.17,401.0,4.0
7893-2,Passenger Plane - ANA version,,,,,,Modern day,City,Airport,,2006.0,,,384.0,4.0
7894-1,Airport,79.99,201.0,82.0,4.3,12.0,Modern day,City,Airport,,2006.0,27039.744,2.33,700.0,5.0
7895-1,Switching Tracks,15.99,16.0,12.0,3.8,4.0,Modern day,City,Trains,,2006.0,3317.76,0.27,8.0,0.0
7896-1,Straight and Curved Rails,15.99,35.0,14.0,3.8,4.0,Modern day,City,Trains,,2006.0,3317.76,0.38,16.0,0.0
7897-1,Passenger Train,89.99,252.0,88.0,3.2,21.0,Modern day,City,Trains,,2006.0,21233.664,1.92,501.0,3.0
7898-1,Cargo Train Deluxe,149.99,344.0,139.0,5.0,9.0,Modern day,City,Trains,,2006.0,30044.160000000003,2.94,856.0,5.0
7899-1,Police Boat,24.99,88.0,24.0,4.7,14.0,Modern day,City,Police,,2006.0,9953.28,0.78,199.0,3.0
7900-1,Heavy Loader,24.99,131.0,54.0,4.4,7.0,Modern day,City,Construction,,2006.0,11943.936000000003,0.97,347.0,1.0
7901-1,Airplane Mechanic,3.49,17.0,7.0,3.8,4.0,Modern day,City,Airport,,2006.0,,,26.0,1.0
7902-1,Doctor's Car,5.99,25.0,5.0,4.0,8.0,Modern day,City,Medical,,2006.0,995.328,0.1,66.0,1.0
7903-1,Rescue Helicopter,19.99,35.0,10.0,4.1,17.0,Modern day,City,Medical,,2006.0,4147.200000000002,0.41,249.0,3.0
7904-1,City Advent Calendar,20.0,40.0,,4.3,3.0,Modern day,City,Seasonal,,2006.0,7962.624000000002,0.42,257.0,9.0
7905-1,Building Crane,69.99,301.0,130.0,4.8,13.0,Modern day,City,Construction,,2006.0,,,721.0,3.0
8281-1,Mini Tractor,10.0,39.0,12.0,4.0,2.0,Technical,Technic,,,2006.0,1769.4720000000002,0.2,121.0,0.0
8282-1,Quad Bike,20.0,28.0,11.0,4.0,2.0,Technical,Technic,,,2006.0,2654.208,0.34,200.0,0.0
8283-1,Telehandler,29.99,39.0,28.0,4.5,2.0,Technical,Technic,,,2006.0,6635.52,0.65,323.0,0.0
8284-1,Dune Buggy / Tractor,60.0,165.0,68.0,4.7,7.0,Technical,Technic,,,2006.0,13271.04,1.46,872.0,0.0
8285-1,Tow Truck,119.99,343.0,175.0,4.5,12.0,Technical,Technic,,,2006.0,27039.744,3.43,1877.0,0.0
8287-1,Motor Box,29.99,135.0,72.0,4.0,2.0,Technical,Technic,,,2006.0,2488.32,0.3,93.0,0.0
8288-1,Crawler Crane,49.99,325.0,144.0,3.7,3.0,Technical,Technic,,,2006.0,10616.832,1.17,800.0,0.0
8289-1,Fire Truck,74.99,217.0,69.0,4.5,4.0,Technical,Technic,,,2006.0,13271.04,1.82,1035.0,0.0
8369-2,Dirt Crusher RC,40.0,,177.0,,,Racing,Racers,Outdoor RC,,2006.0,28753.92,3.38,88.0,0.0
8527-1,Mindstorms NXT,249.99,200.0,139.0,5.0,2.0,Technical,Mindstorms,NXT,,2006.0,16809.984,2.16,577.0,0.0
8528-1,Converter Cables for Mindstorms NXT,9.99,53.0,10.0,,,Technical,Mindstorms,NXT,,2006.0,,,3.0,0.0
8529-1,Connector Cables for Mindstorms NXT,9.99,10.0,,,,Technical,Mindstorms,NXT,,2006.0,,,7.0,0.0
8624-1,Race for the Mask of Life,59.99,61.0,28.0,5.0,1.0,Constraction,Bionicle,Playsets,,2006.0,,,507.0,8.0
8625-1,Umbra,25.0,77.0,38.0,4.2,5.0,Constraction,Bionicle,Warriors,,2006.0,,,179.0,0.0
8661-1,Carbon Star,4.0,6.0,5.0,4.5,8.0,Racing,Racers,Tiny Turbos,,2006.0,,,44.0,0.0
8662-1,Blue Renegade,4.0,30.0,5.0,5.0,3.0,Racing,Racers,Tiny Turbos,,2006.0,,,49.0,0.0
8663-1,Fat Trax,4.0,9.0,5.0,4.5,4.0,Racing,Racers,Tiny Turbos,,2006.0,,,42.0,0.0
8664-1,Road Hero,4.0,9.0,4.0,4.9,7.0,Racing,Racers,Tiny Turbos,,2006.0,,,55.0,0.0
8665-1,Highway Enforcer,4.0,9.0,2.0,4.0,3.0,Racing,Racers,Tiny Turbos,,2006.0,,,52.0,0.0
8666-1,Tuner X,4.0,7.0,1.0,4.5,10.0,Racing,Racers,Tiny Turbos,,2006.0,,,61.0,0.0
8667-1,Action Wheeler,10.0,10.0,6.0,4.0,2.0,Racing,Racers,Power Racers,,2006.0,,,79.0,0.0
8668-1,Side Rider 55,10.0,14.0,6.0,3.0,1.0,Racing,Racers,Power Racers,,2006.0,,,111.0,0.0
8669-1,Fire Spinner 360,10.0,21.0,5.0,4.0,1.0,Racing,Racers,Power Racers,,2006.0,,,113.0,0.0
8670-1,Jump Master,10.0,14.0,6.0,4.5,2.0,Racing,Racers,Power Racers,,2006.0,,,105.0,0.0
8671-1,Ferrari 430 Spider 1:17,39.99,260.0,57.0,3.3,3.0,Racing,Racers,Ferrari,,2006.0,7464.960000000001,0.9,559.0,0.0
8672-1,Ferrari Finish Line,60.0,112.0,49.0,4.7,7.0,Racing,Racers,Ferrari,,2006.0,15925.248,1.35,573.0,10.0
8673-1,Ferrari F1 Fuel Stop,19.99,51.0,23.0,4.3,3.0,Racing,Racers,Ferrari,,2006.0,3981.312,0.32,189.0,5.0
8674-1,Ferrari F1 Racer 1:8,139.99,353.0,198.0,3.8,6.0,Racing,Racers,Ferrari,,2006.0,,,1246.0,0.0
8675-1,Outdoor Challenger,160.0,296.0,130.0,3.0,3.0,Racing,Racers,Outdoor RC,,2006.0,21233.664,3.17,104.0,0.0
8676-1,Sunset Cruiser,60.0,148.0,50.0,3.0,1.0,Racing,Racers,Outdoor RC,,2006.0,14745.6,1.87,58.0,0.0
8681-1,Tuner Garage,39.99,52.0,22.0,4.8,6.0,Racing,Racers,Tiny Turbos,,2006.0,8294.400000000001,1.01,652.0,0.0
8682-1,Nitro Intimidator,50.0,40.0,50.0,4.0,2.0,Racing,Racers,Power Racers,,2006.0,,,724.0,0.0
8701-1,King Jayko,20.0,28.0,17.0,4.5,4.0,Historical,Castle,Knights' Kingdom II,,2006.0,4147.200000000002,0.49,130.0,0.0
8702-1,Lord Vladek,20.0,33.0,27.0,5.0,1.0,Historical,Castle,Knights' Kingdom II,,2006.0,4147.200000000002,0.48,112.0,0.0
8703-1,Sir Kentis,10.0,32.0,6.0,4.5,2.0,Historical,Castle,Knights' Kingdom II,,2006.0,1830.6,0.28,43.0,0.0
8704-1,Sir Adric,10.0,23.0,6.0,4.0,7.0,Historical,Castle,Knights' Kingdom II,,2006.0,1830.6,0.28,40.0,0.0
8705-1,Dracus,9.99,19.0,7.0,4.3,4.0,Historical,Castle,Knights' Kingdom II,,2006.0,1830.6,0.28,38.0,0.0
8706-1,Karzon,9.99,,5.0,3.8,5.0,Historical,Castle,Knights' Kingdom II,,2006.0,1830.6,0.28,44.0,0.0
8719-1,Zamor Spheres,2.0,2.0,1.0,3.2,10.0,Constraction,Bionicle,Accessories,,2006.0,269.568,0.03,10.0,0.0
8721-1,Velika,4.0,12.0,5.0,4.5,4.0,Constraction,Bionicle,Matoran,,2006.0,,,21.0,0.0
8722-1,Kazi,3.99,10.0,4.0,4.2,6.0,Constraction,Bionicle,Matoran,,2006.0,,,25.0,0.0
8723-1,Piruk,3.99,12.0,5.0,4.8,8.0,Constraction,Bionicle,Matoran,,2006.0,,,27.0,0.0
8724-1,Garan,3.99,17.0,5.0,4.3,8.0,Constraction,Bionicle,Matoran,,2006.0,,,21.0,0.0
8725-1,Balta,4.0,19.0,5.0,4.2,5.0,Constraction,Bionicle,Matoran,,2006.0,,,22.0,0.0
8726-1,Dalu,3.99,11.0,4.0,4.0,5.0,Constraction,Bionicle,Matoran,,2006.0,,,25.0,0.0
8727-1,Toa Jaller,10.0,46.0,9.0,4.4,9.0,Constraction,Bionicle,Toa Inika,,2006.0,2401.2000000000007,0.29,46.0,0.0
8728-1,Toa Hahli,9.99,35.0,9.0,4.7,7.0,Constraction,Bionicle,Toa Inika,,2006.0,2401.2000000000007,0.3,46.0,0.0
8729-1,Toa Nuparu,9.99,61.0,10.0,4.6,7.0,Constraction,Bionicle,Toa Inika,,2006.0,2401.2000000000007,0.31,54.0,0.0
8730-1,Toa Hewkii,9.99,65.0,11.0,4.8,9.0,Constraction,Bionicle,Toa Inika,,2006.0,2401.2000000000007,0.3,62.0,0.0
8731-1,Toa Kongu,9.99,34.0,9.0,4.5,6.0,Constraction,Bionicle,Toa Inika,,2006.0,2401.2000000000007,0.29,46.0,0.0
8732-1,Toa Matoro,9.99,48.0,10.0,4.0,5.0,Constraction,Bionicle,Toa Inika,,2006.0,2401.2000000000007,0.3,46.0,0.0
8733-1,Axonn,20.0,100.0,40.0,4.8,6.0,Constraction,Bionicle,Warriors,,2006.0,4147.200000000002,0.42,196.0,0.0
8734-1,Brutaka,19.99,150.0,66.0,4.7,13.0,Constraction,Bionicle,Warriors,,2006.0,4147.200000000002,0.41,193.0,0.0
8764-1,Vezon & Fenrakk,30.0,64.0,54.0,4.1,7.0,Constraction,Bionicle,Warriors,,2006.0,6635.52,0.59,281.0,0.0
8813-1,Battle at the Pass,40.0,112.0,111.0,4.5,2.0,Historical,Castle,Knights' Kingdom II,,2006.0,,,381.0,11.0
8821-1,Rogue Knight Battleship,20.0,50.0,30.0,4.0,6.0,Historical,Castle,Knights' Kingdom II,,2006.0,3981.312,0.4,152.0,3.0
8822-1,Gargoyle Bridge,30.0,55.0,39.0,4.0,3.0,Historical,Castle,Knights' Kingdom II,,2006.0,6635.52,0.61,250.0,3.0
8823-1,Mistlands Tower,50.0,130.0,68.0,4.8,4.0,Historical,Castle,Knights' Kingdom II,,2006.0,13271.04,1.18,431.0,6.0
8892-1,Piraka Outpost,29.99,35.0,21.0,5.0,1.0,Constraction,Bionicle,Playsets,,2006.0,7962.624000000002,0.56,211.0,4.0
8893-1,Lava Chamber Gate,39.99,50.0,25.0,4.5,6.0,Constraction,Bionicle,Playsets,,2006.0,9953.28,1.0,373.0,8.0
8894-1,Piraka Stronghold,74.99,128.0,48.0,4.0,1.0,Constraction,Bionicle,Playsets,,2006.0,21233.664,1.7,648.0,12.0
8900-1,Reidak,8.99,30.0,9.0,4.5,13.0,Constraction,Bionicle,Piraka,,2006.0,,,41.0,0.0
8901-1,Hakann,8.99,35.0,9.0,4.3,6.0,Constraction,Bionicle,Piraka,,2006.0,,,42.0,0.0
8902-1,Vezok,8.99,36.0,7.0,3.7,9.0,Constraction,Bionicle,Piraka,,2006.0,,,41.0,0.0
8903-1,Zaktan,8.99,58.0,10.0,4.1,9.0,Constraction,Bionicle,Piraka,,2006.0,,,41.0,0.0
8904-1,Avak,9.0,52.0,12.0,4.3,10.0,Constraction,Bionicle,Piraka,,2006.0,,,41.0,0.0
8905-1,Thok,8.99,85.0,10.0,4.8,8.0,Constraction,Bionicle,Piraka,,2006.0,,,42.0,0.0
9798-1,Rechargeable Battery,54.99,69.0,48.0,,,Technical,Mindstorms,NXT,,2006.0,,,1.0,0.0
9833-2,Transformer,23.99,20.0,14.0,,,Technical,Mindstorms,NXT,,2006.0,,,1.0,0.0
9841-1,NXT Intelligent Brick,169.99,138.0,50.0,5.0,1.0,Technical,Mindstorms,NXT,,2006.0,,,1.0,0.0
9842-1,Interactive Servo Motor,24.99,15.0,15.0,3.5,2.0,Technical,Mindstorms,NXT,,2006.0,,0.08,1.0,0.0
9843-1,Touch Sensor,24.99,17.0,6.0,,,Technical,Mindstorms,NXT,,2006.0,,0.02,1.0,0.0
9844-1,Light Sensor,24.99,16.0,12.0,,,Technical,Mindstorms,NXT,,2006.0,,0.01,1.0,0.0
9845-1,Sound Sensor,34.99,30.0,23.0,,,Technical,Mindstorms,NXT,,2006.0,,0.02,1.0,0.0
9846-1,Ultrasonic Sensor,39.99,17.0,13.0,,,Technical,Mindstorms,NXT,,2006.0,,0.02,1.0,0.0
9847-1,Bluetooth Dongle,32.5,,,,,Technical,Mindstorms,NXT,,2006.0,,,1.0,0.0
10173-1,Holiday Train,89.99,396.0,300.0,4.5,6.0,Model making,Creator Expert,Trains,,2006.0,,,965.0,7.0
10174-1,Imperial AT-ST,79.99,369.0,250.0,4.7,11.0,Licensed,Star Wars,Ultimate Collector Series,,2006.0,,,1068.0,0.0
10175-1,Vader's TIE Advanced,99.99,616.0,403.0,4.2,9.0,Licensed,Star Wars,Ultimate Collector Series,,2006.0,,,1212.0,0.0
10176-1,King's Castle,99.99,232.0,199.0,4.7,10.0,Historical,Castle,Knights' Kingdom II,,2006.0,,,869.0,12.0
10177-1,Boeing 787 Dreamliner,79.99,493.0,270.0,5.0,4.0,Model making,Creator Expert,Aircraft,,2006.0,,,1197.0,0.0
2064-1,Rescue plane,,42.0,19.0,4.4,5.0,Modern day,City,Airport,,2007.0,,,116.0,2.0
3573-1,Superstar Figure ,,349.0,214.0,,,Modern day,Sports,Football,,2007.0,,,6.0,1.0
3870-1,Red Walker,,28.0,8.0,3.0,1.0,Action/Adventure,Exo-Force,Golden City,,2007.0,,,29.0,1.0
3871-1,White Flyer,,23.0,7.0,,,Action/Adventure,Exo-Force,Golden City,,2007.0,,,21.0,1.0
3872-1,Robo Chopper,,,,,,Action/Adventure,Exo-Force,Golden City,,2007.0,,,29.0,0.0
3885-1,Mini Jet Fighter,,11.0,7.0,4.0,1.0,Action/Adventure,Exo-Force,Golden City,,2007.0,,,22.0,1.0
3886-1,Green Exo Fighter,,7.0,3.0,4.0,1.0,Action/Adventure,Exo-Force,Golden City,,2007.0,,,19.0,1.0
4915-1,Mini Construction,4.99,13.0,3.0,4.3,9.0,Model making,Creator,,,2007.0,705.0239999999999,0.1,68.0,0.0
4916-1,Mini Animals,4.99,6.0,3.0,3.9,7.0,Model making,Creator,,,2007.0,705.0239999999999,0.12,77.0,0.0
4917-1,Mini Robots,4.99,8.0,3.0,4.2,6.0,Model making,Creator,,,2007.0,705.0239999999999,0.11,77.0,0.0
4918-1,Mini Flyers,4.99,7.0,3.0,4.3,8.0,Model making,Creator,,,2007.0,705.0239999999999,0.1,76.0,0.0
4933-1,Street Sweeper,,,,,,Modern day,City,Construction,,2007.0,,,14.0,0.0
4934-1,Police Swamp Boat,,,,,,Modern day,City,Police,,2007.0,,,20.0,0.0
4936-1,Doc & Patient,2.99,26.0,6.0,3.8,8.0,Modern day,City,Medical,,2007.0,,,18.0,2.0
4937-1,Life Guard,,22.0,15.0,4.3,3.0,Modern day,City,General,,2007.0,,,38.0,1.0
4938-1,Fire 4x4,,6.0,4.0,,,Modern day,City,Fire,,2007.0,,,28.0,1.0
4939-1,Cool Cars,12.99,35.0,7.0,4.5,15.0,Model making,Creator,,,2007.0,2654.208,0.29,206.0,0.0
4953-1,Fast Flyers,19.99,61.0,17.0,4.5,12.0,Model making,Creator,,,2007.0,4976.64,0.59,312.0,0.0
4954-1,Model Town House,69.99,261.0,143.0,4.3,14.0,Model making,Creator,,,2007.0,21233.664,2.33,1174.0,0.0
4955-1,Big Rig,30.0,131.0,52.0,4.3,4.0,Model making,Creator,,,2007.0,7962.624000000002,1.07,550.0,0.0
4956-1,House,49.99,140.0,58.0,4.5,15.0,Model making,Creator,,,2007.0,13271.04,1.63,731.0,0.0
4957-1,Ferris Wheel,69.99,176.0,80.0,4.6,5.0,Model making,Creator,,,2007.0,15925.248,1.96,1063.0,0.0
4958-1,Monster Dino,89.99,287.0,102.0,4.8,4.0,Model making,Creator,,,2007.0,18026.496,1.65,792.0,0.0
4981-1,The Chum Bucket,34.99,73.0,39.0,4.7,3.0,Licensed,SpongeBob SquarePants,,,2007.0,5308.416,0.5,337.0,3.0
4982-1,Mrs. Puff's Boating School,49.99,73.0,43.0,4.3,3.0,Licensed,SpongeBob SquarePants,,,2007.0,8294.400000000001,0.75,393.0,3.0
4991-1,Police Helicopter,,6.0,4.0,4.4,8.0,Modern day,City,Police,,2007.0,,,31.0,1.0
4992-1,Fire Boat,,6.0,2.0,4.8,4.0,Modern day,City,Fire,,2007.0,,,27.0,1.0
5378-1,Hogwarts Castle,89.99,418.0,400.0,4.1,10.0,Licensed,Harry Potter,Order of the Phoenix,,2007.0,15925.248,1.65,943.0,9.0
6162-1,Building Fun with LEGO,9.99,20.0,16.0,4.5,4.0,Model making,Creator,Mosaic,,2007.0,2211.84,0.22,286.0,0.0
6163-1,A World of LEGO Mosaic,19.99,52.0,23.0,4.0,5.0,Model making,Creator,Mosaic,,2007.0,4976.64,0.48,598.0,0.0
6944-1,Good Guy 07,,,8.0,5.0,1.0,Constraction,Bionicle,,,2007.0,,,20.0,0.0
6945-1,Bad Guy 07,,23.0,9.0,5.0,2.0,Constraction,Bionicle,,,2007.0,,,25.0,0.0
6946-1,Squid Launcher Function,,21.0,16.0,3.0,1.0,Constraction,Bionicle,,,2007.0,,,22.0,0.0
7009-1,The Final Joust,7.99,46.0,20.0,4.6,25.0,Historical,Castle,Fantasy Era,,2007.0,1327.104,0.11,62.0,2.0
7029-1,Skeleton Ship Attack,69.99,203.0,165.0,4.7,7.0,Historical,Castle,Fantasy Era,,2007.0,,,628.0,7.0
7036-1,Dwarves' Mine,59.99,164.0,88.0,4.8,23.0,Historical,Castle,Fantasy Era,,2007.0,17694.719999999998,1.18,575.0,7.0
7090-1,Crossbow Attack,5.99,18.0,12.0,4.5,26.0,Historical,Castle,Fantasy Era,,2007.0,995.328,0.08,54.0,3.0
7091-1,Knight's Catapult Defense,9.99,22.0,18.0,4.5,20.0,Historical,Castle,Fantasy Era,,2007.0,1658.88,0.19,123.0,4.0
7092-1,Skeletons' Prison Carriage,19.99,74.0,32.0,4.9,11.0,Historical,Castle,Fantasy Era,,2007.0,4423.68,0.4,193.0,5.0
7093-1,Skeleton Tower,49.99,200.0,97.0,4.7,15.0,Historical,Castle,Fantasy Era,,2007.0,13271.04,1.08,398.0,5.0
7094-1,King's Castle Siege,99.99,325.0,136.0,4.8,23.0,Historical,Castle,Fantasy Era,,2007.0,24035.328,2.63,973.0,10.0
7452-1,Le Mans,,4.0,3.0,4.6,5.0,Racing,Racers,Tiny Turbos,,2007.0,,,34.0,0.0
7453-1,Off Road,,6.0,1.0,3.0,1.0,Racing,Racers,Tiny Turbos,,2007.0,,,26.0,0.0
7580-1,The Skating Princess,9.99,,15.0,,,Girls,Belville,Fairytales,,2007.0,,,26.0,1.0
7581-1,Winter Royal Stables,49.99,,24.0,,,Girls,Belville,Fairytales,,2007.0,,,86.0,2.0
7582-1,Royal Summer Palace,59.99,105.0,38.0,,,Girls,Belville,Fairytales,,2007.0,,,167.0,3.0
7600-1,Advent Calendar,19.99,51.0,,3.5,2.0,Girls,Belville,Seasonal,,2007.0,,,215.0,0.0
7654-1,Droids Battle Pack,9.99,31.0,17.0,4.5,61.0,Licensed,Star Wars,Episode III,,2007.0,1327.104,0.12,102.0,7.0
7655-1,Clone Troopers Battle Pack,9.99,36.0,22.0,4.4,72.0,Licensed,Star Wars,Episode III,,2007.0,1327.104,0.1,58.0,4.0
7656-1,General Grievous Starfighter,19.99,40.0,16.0,4.3,38.0,Licensed,Star Wars,Episode III,,2007.0,4976.64,0.4,232.0,1.0
7657-1,AT-ST,19.99,120.0,26.0,4.1,43.0,Licensed,Star Wars,Episode VI,,2007.0,4976.64,0.44,244.0,1.0
7658-1,Y-wing Fighter,39.99,70.0,35.0,4.5,33.0,Licensed,Star Wars,Episode IV,,2007.0,7464.960000000001,0.69,454.0,2.0
7659-1,Imperial Landing Craft,49.99,87.0,50.0,4.6,39.0,Licensed,Star Wars,Episode IV,,2007.0,9953.28,0.92,471.0,5.0
7660-1,Naboo N-1 Starfighter with Vulture Droid,29.99,66.0,23.0,4.2,37.0,Licensed,Star Wars,Episode I,,2007.0,6635.52,0.67,280.0,3.0
7661-1,Jedi Starfighter with Hyperdrive Booster Ring,49.99,140.0,60.0,4.6,22.0,Licensed,Star Wars,Episode III,,2007.0,9953.28,0.93,575.0,2.0
7662-1,Trade Federation MTT,99.99,433.0,189.0,4.9,52.0,Licensed,Star Wars,Episode I,,2007.0,24035.328,2.45,1330.0,21.0
7663-1,Sith Infiltrator,29.99,55.0,23.0,4.2,23.0,Licensed,Star Wars,Episode I,,2007.0,,,310.0,1.0
7664-1,TIE Crawler,49.99,81.0,53.0,3.6,18.0,Licensed,Star Wars,Legends,,2007.0,,,548.0,2.0
7665-1,Republic Cruiser,89.99,271.0,134.0,4.6,28.0,Licensed,Star Wars,Episode I,,2007.0,,,919.0,5.0
