set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,price_store,price_new,price_used,rating_value,rating_votes,main_tag,set_type,packaging
7271-1,Apple,Model making,Creator,Designer Set,2005.0,8.0,0.0,/inventories/7271-1,,,8.0,,5.0,1.0,,Normal,Polybag
7272-1,Pear,Model making,Creator,Designer Set,2005.0,10.0,0.0,/inventories/7272-1,,,9.0,,1.0,1.0,,Normal,Polybag
7274-1,Orange,Model making,Creator,Designer Set,2005.0,7.0,0.0,/inventories/7274-1,,,6.0,,4.0,1.0,,Normal,Polybag
7275-1,Cherry,Model making,Creator,Designer Set,2005.0,11.0,0.0,/inventories/7275-1,,,10.0,,,,,Normal,Polybag
7276-1,Mango,Model making,Creator,Designer Set,2005.0,6.0,0.0,/inventories/7276-1,,,10.0,,,,,Normal,Polybag
7278-1,Melon,Model making,Creator,Designer Set,2005.0,8.0,0.0,/inventories/7278-1,,,12.0,,,,,Normal,Polybag
7280-1,Straight & Crossroad Plates,Modern day,City,General,2005.0,2.0,0.0,/inventories/7280-1,,14.99,7.0,7.0,3.8,11.0,,Normal,Shrink-wrapped
7281-1,T-Junction & Curved Road Plates,Modern day,City,General,2005.0,2.0,0.0,,,14.99,8.0,6.0,4.1,7.0,,Normal,Shrink-wrapped
7283-1,Ultimate Space Battle,Licensed,Star Wars,Episode III,2005.0,567.0,4.0,/inventories/7283-1,/minifigs/inset-7283-1,50.0,220.0,127.0,4.8,5.0,,Normal,Box
7294-1,Dino Quad,Action/Adventure,Dino 2010,,2005.0,39.0,1.0,/inventories/7294-1,/minifigs/inset-7294-1,,50.0,6.0,4.4,5.0,,Normal,Box
7295-1,Dino Buggy Chaser,Action/Adventure,Dino 2010,,2005.0,83.0,1.0,/inventories/7295-1,/minifigs/inset-7295-1,,49.0,16.0,3.0,2.0,,Normal,Box
7296-1,Dino 4WD Trapper,Action/Adventure,Dino 2010,,2005.0,283.0,1.0,/inventories/7296-1,/minifigs/inset-7296-1,,88.0,28.0,3.5,4.0,,Normal,Box
7297-1,Dino Track Transport,Action/Adventure,Dino 2010,,2005.0,363.0,3.0,/inventories/7297-1,/minifigs/inset-7297-1,,110.0,46.0,3.0,4.0,,Normal,Box
7298-1,Dino Air Tracker,Action/Adventure,Dino 2010,,2005.0,711.0,4.0,/inventories/7298-1,/minifigs/inset-7298-1,,203.0,92.0,5.0,3.0,,Normal,Box
7324-1,City Advent Calendar,Modern day,City,Seasonal,2005.0,203.0,9.0,/inventories/7324-1,/minifigs/inset-7324-1,15.0,32.0,20.0,5.0,2.0,,Normal,Box
7344-1,Dump Truck,Modern day,City,Construction,2005.0,187.0,1.0,/inventories/7344-1,/minifigs/inset-7344-1,30.0,72.0,25.0,4.3,3.0,,Normal,Box
7473-1,Steel Sprinter vs. Mutant Lizard,Action/Adventure,Dino Attack,,2005.0,42.0,1.0,/inventories/7473-1,/minifigs/inset-7473-1,4.0,18.0,9.0,4.2,17.0,,Normal,Box
7474-1,Urban Avenger vs. Raptor,Action/Adventure,Dino Attack,,2005.0,87.0,1.0,/inventories/7474-1,/minifigs/inset-7474-1,10.0,48.0,22.0,4.7,7.0,,Normal,Box
7475-1,Fire Hammer vs. Mutant Lizards,Action/Adventure,Dino Attack,,2005.0,254.0,1.0,/inventories/7475-1,/minifigs/inset-7475-1,20.0,63.0,24.0,4.7,11.0,,Normal,Box
7476-1,Iron Predator vs. T-Rex,Action/Adventure,Dino Attack,,2005.0,278.0,3.0,/inventories/7476-1,/minifigs/inset-7476-1,40.0,94.0,47.0,4.6,10.0,,Normal,Box
7477-1,T-1 Typhoon vs. T-Rex,Action/Adventure,Dino Attack,,2005.0,605.0,4.0,/inventories/7477-1,/minifigs/inset-7477-1,70.0,250.0,108.0,4.8,16.0,,Normal,Box
7523-1,Hip Hair Set,Girls,Clikits,,2005.0,16.0,0.0,/inventories/7523-1,,5.0,11.0,,,,,Normal,
7527-1,Pretty in Pink Beauty Set,Girls,Clikits,,2005.0,136.0,0.0,/inventories/7527-1,,20.0,,,,,,Normal,
7533-1,Pretty In Pink Jewels-n-More,Girls,Clikits,,2005.0,67.0,1.0,/inventories/7533-1,/minifigs/inset-7533-1,8.0,15.0,,,,,Normal,
7534-1,Stylin' Citrus Jewels-n-More,Girls,Clikits,,2005.0,67.0,1.0,/inventories/7534-1,/minifigs/inset-7534-1,8.0,15.0,,4.0,1.0,,Normal,
7535-1,Groovy Grape Jewels-n-More,Girls,Clikits,,2005.0,67.0,1.0,/inventories/7535-1,/minifigs/inset-7535-1,8.0,21.0,,,,,Normal,
7536-1,Modern Magnetic Room Decor,Girls,Clikits,,2005.0,72.0,0.0,/inventories/7536-1,,13.0,21.0,,,,,Normal,
7537-1,Cool Carry-All Set,Girls,Clikits,,2005.0,74.0,0.0,/inventories/7537-1,,15.0,27.0,,,,,Normal,
7538-1,Totally Clikits Fashion Bag and Accessories,Girls,Clikits,,2005.0,125.0,0.0,/inventories/7538-1,,,55.0,,,,,Normal,
7540-1,Friends 4-Ever Jewels & More,Girls,Clikits,,2005.0,66.0,0.0,/inventories/7540-1,,10.0,15.0,,,,,Normal,
7541-1,Friendship Frames & Notes,Girls,Clikits,,2005.0,70.0,0.0,/inventories/7541-1,,10.0,15.0,,,,,Normal,
7542-1,Flashin' Fashion Frame,Girls,Clikits,,2005.0,50.0,0.0,/inventories/7542-1,,20.0,13.0,,,,,Normal,
7557-1,Blooms and Butterflies,Girls,Clikits,,2005.0,14.0,0.0,/inventories/7557-1,,3.0,3.0,,,,,Normal,
7558-1,Shells and Starfish,Girls,Clikits,,2005.0,14.0,0.0,/inventories/7558-1,,3.0,9.0,,,,,Normal,
7559-1,Sports and Stars,Girls,Clikits,,2005.0,14.0,0.0,/inventories/7559-1,,3.0,3.0,,,,,Normal,
7574-1,Holiday Gift Calendar,Girls,Clikits,,2005.0,115.0,0.0,/inventories/7574-1,,20.0,49.0,,,,,Normal,
7840-1,Airport Action Set,Pre-school,Duplo,Airport,2005.0,103.0,5.0,/inventories/7840-1,/minifigs/inset-7840-1,79.99,,90.0,5.0,1.0,,Normal,
7841-1,Helicopter Rescue Unit,Pre-school,Duplo,Airport,2005.0,25.0,3.0,/inventories/7841-1,/minifigs/inset-7841-1,20.0,123.0,40.0,,,,Normal,
7842-1,Jet Fuel Truck,Pre-school,Duplo,Airport,2005.0,10.0,1.0,/inventories/7842-1,/minifigs/inset-7842-1,,46.0,15.0,5.0,1.0,,Normal,
65642-1,The Grand Tournament with sword and shield,Historical,Castle,Product Collection,2005.0,312.0,0.0,,,30.0,,,,,,Collection,
65702-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,312.0,0.0,,,,,,,,,Collection,Box
65706-1,Bonus/Value Pack,Racing,Racers,Product Collection,2005.0,348.0,0.0,,,,,,,,,Collection,
65716-1,Bonus/Value Pack,Constraction,Bionicle,Product Collection,2005.0,259.0,0.0,,,30.0,107.0,,3.0,1.0,,Collection,Box
65738-1,Bonus/Value Pack,Constraction,Bionicle,Product Collection,2005.0,143.0,0.0,,,,,,,,,Collection,
65739-1,Bonus/Value Pack,Constraction,Bionicle,Product Collection,2005.0,144.0,0.0,,,,,,,,,Collection,
65743-1,City Construction Value Pack,Modern day,City,Product Collection,2005.0,226.0,0.0,,,25.0,,,,,,Collection,Box
65757-1,Special Edition Guardian Toa,Constraction,Bionicle,Product Collection,2005.0,108.0,0.0,,,18.0,250.0,31.0,5.0,4.0,,Collection,
65764-1,Bonus/Value Pack,Constraction,Bionicle,Product Collection,2005.0,108.0,0.0,,,,,,,,,Collection,
65766-1,Thomas Bridge & Tunnel Set,Pre-school,Duplo,Product Collection,2005.0,87.0,0.0,,,70.0,300.0,,5.0,1.0,,Collection,Box
65767-1,Attack from the Sea,Historical,Castle,Product Collection,2005.0,314.0,0.0,,,30.0,85.0,,3.5,2.0,,Collection,Box
65768-1,Knights' Value Pack,Historical,Castle,Product Collection,2005.0,87.0,0.0,,,,,,,,,Collection,Box
65769-1,Vladek Value Pack,Historical,Castle,Product Collection,2005.0,86.0,0.0,,,20.0,,,,,,Collection,Box
65771-1,Episode III Collectors' Set,Licensed,Star Wars,Product Collection,2005.0,544.0,0.0,,,60.0,211.0,47.0,4.8,4.0,,Collection,Plastic box
65773-1,Bonus/Value Pack,Pre-school,Duplo,Product Collection,2005.0,53.0,0.0,,,50.0,,,,,,Collection,Box
65776-1,Bonus/Value Pack,Historical,Castle,Product Collection,2005.0,87.0,0.0,,,,,,,,,Collection,
65777-1,City Fire Value Pack,Modern day,City,Product Collection,2005.0,595.0,0.0,,,,,,,,,Collection,Box
65778-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,260.0,0.0,,,,,,,,,Collection,
65783-1,Bonus/Value Pack,Constraction,Bionicle,Product Collection,2005.0,96.0,0.0,,,,108.0,,,,,Collection,
65796-1,Bonus/Value Pack,Constraction,Bionicle,Product Collection,2005.0,143.0,0.0,,,,,,,,,Collection,
65797-1,Bonus/Value Pack,Constraction,Bionicle,Product Collection,2005.0,144.0,0.0,,,,,,,,,Collection,
65799-1,City Fire Value Pack,Modern day,City,Product Collection,2005.0,663.0,0.0,,,,199.0,,,,,Collection,Box
65800-1,City Construction Value Pack,Modern day,City,Product Collection,2005.0,1012.0,0.0,,,,,,,,,Collection,Box
65808-1,Toa Hordika Value Pack,Constraction,Bionicle,Product Collection,2005.0,144.0,0.0,,,,167.0,,,,,Collection,
65809-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,110.0,0.0,,,,,,,,,Collection,
8658-1,Big Bling Wheelie,Racing,Racers,Tiny Turbos,2005.0,32.0,0.0,/inventories/8658-1,,4.0,15.0,3.0,4.2,6.0,,Normal,Canister
8713-1,Ultimate BIONICLE Accessory Kit,Constraction,Bionicle,Accessories,2005.0,500.0,0.0,/inventories/8713-1,,,50.0,,,,,Normal,
8715-1,BIONICLE Exclusive Accessories,Constraction,Bionicle,Accessories,2005.0,401.0,0.0,/inventories/8715-1,,20.0,152.0,79.0,4.5,2.0,,Normal,
8736-1,Toa Hordika Vakama,Constraction,Bionicle,Toa Hordika,2005.0,48.0,0.0,/inventories/8736-1,,8.99,18.0,6.0,4.4,5.0,,Normal,
8737-1,Toa Hordika Nokama,Constraction,Bionicle,Toa Hordika,2005.0,48.0,0.0,/inventories/8737-1,,9.0,30.0,6.0,4.1,8.0,,Normal,
8738-1,Toa Hordika Whenua,Constraction,Bionicle,Toa Hordika,2005.0,48.0,0.0,/inventories/8738-1,,9.0,25.0,5.0,4.2,5.0,,Normal,
8739-1,Toa Hordika Onewa,Constraction,Bionicle,Toa Hordika,2005.0,48.0,0.0,/inventories/8739-1,,9.0,20.0,5.0,4.5,4.0,,Normal,
8740-1,Toa Hordika Matau,Constraction,Bionicle,Toa Hordika,2005.0,48.0,0.0,/inventories/8740-1,,9.0,19.0,4.0,4.4,7.0,,Normal,
8741-1,Toa Hordika Nuju,Constraction,Bionicle,Toa Hordika,2005.0,48.0,0.0,/inventories/8741-1,,9.0,51.0,4.0,4.7,3.0,,Normal,
8742-1,Visorak Vohtarak,Constraction,Bionicle,Visorak,2005.0,48.0,0.0,/inventories/8742-1,,9.0,17.0,5.0,4.2,5.0,,Normal,
8743-1,Visorak Boggarak,Constraction,Bionicle,Visorak,2005.0,48.0,0.0,/inventories/8743-1,,9.0,39.0,6.0,4.2,5.0,,Normal,
8744-1,Visorak Oohnorak,Constraction,Bionicle,Visorak,2005.0,47.0,0.0,/inventories/8744-1,,9.0,22.0,6.0,4.2,6.0,,Normal,
8745-1,Visorak Roporak,Constraction,Bionicle,Visorak,2005.0,48.0,0.0,/inventories/8745-1,,9.0,19.0,6.0,4.5,4.0,,Normal,
8746-1,Visorak Keelerak,Constraction,Bionicle,Visorak,2005.0,48.0,0.0,/inventories/8746-1,,9.0,30.0,6.0,4.4,5.0,,Normal,
8747-1,Visorak Suukorak,Constraction,Bionicle,Visorak,2005.0,48.0,0.0,/inventories/8747-1,,9.0,40.0,6.0,4.7,3.0,,Normal,
8748-1,Rhotuka Spinners,Constraction,Bionicle,Accessories,2005.0,5.0,0.0,/inventories/8748-1,,2.0,2.0,,4.0,2.0,,Normal,
8755-1,Keetongu,Constraction,Bionicle,Warriors,2005.0,203.0,0.0,/inventories/8755-1,,20.0,40.0,24.0,4.4,11.0,,Normal,
8756-1,Sidorak,Constraction,Bionicle,Warriors,2005.0,211.0,0.0,/inventories/8756-1,,20.0,50.0,29.0,4.4,5.0,,Normal,
8757-1,Visorak Battle Ram,Constraction,Bionicle,Playsets,2005.0,176.0,14.0,/inventories/8757-1,/minifigs/inset-8757-1,30.0,30.0,18.0,3.7,6.0,,Normal,
8758-1,Tower of Toa,Constraction,Bionicle,Playsets,2005.0,401.0,14.0,/inventories/8758-1,/minifigs/inset-8758-1,50.0,77.0,29.0,4.5,2.0,,Normal,
8759-1,Battle of Metru Nui,Constraction,Bionicle,Playsets,2005.0,858.0,14.0,/inventories/8759-1,/minifigs/inset-8759-1,80.0,217.0,34.0,4.5,4.0,,Normal,
8761-1,Roodaka,Constraction,Bionicle,Warriors,2005.0,233.0,0.0,/inventories/8761-1,,20.0,50.0,40.0,5.0,7.0,,Normal,
8762-1,Toa Iruini,Constraction,Bionicle,Toa Hagah,2005.0,53.0,0.0,/inventories/8762-1,,,52.0,8.0,4.4,14.0,,Normal,
8763-1,Toa Norik,Constraction,Bionicle,Toa Hagah,2005.0,55.0,0.0,/inventories/8763-1,,,29.0,14.0,4.3,6.0,,Normal,
8769-1,Visorak's Gate,Constraction,Bionicle,Playsets,2005.0,318.0,14.0,/inventories/8769-1,/minifigs/inset-8769-1,40.0,39.0,25.0,4.0,1.0,,Normal,
8791-1,Sir Danju,Historical,Castle,Knights' Kingdom II,2005.0,42.0,0.0,/inventories/8791-1,,8.99,21.0,3.0,3.5,4.0,,Normal,
8792-1,Sir Jayko,Historical,Castle,Knights' Kingdom II,2005.0,43.0,0.0,/inventories/8792-1,,9.0,15.0,5.0,3.5,4.0,,Normal,
8793-1,Sir Rascus,Historical,Castle,Knights' Kingdom II,2005.0,44.0,0.0,/inventories/8793-1,,9.0,23.0,4.0,4.0,5.0,,Normal,
8794-1,Sir Santis,Historical,Castle,Knights' Kingdom II,2005.0,44.0,0.0,/inventories/8794-1,,9.0,11.0,5.0,3.8,4.0,,Normal,
8795-1,Lord Vladek,Historical,Castle,Knights' Kingdom II,2005.0,44.0,0.0,/inventories/8795-1,,9.0,18.0,5.0,3.5,4.0,,Normal,Polybag
8796-1,King Mathias,Historical,Castle,Knights' Kingdom II,2005.0,43.0,0.0,/inventories/8796-1,,9.0,15.0,4.0,3.8,4.0,,Normal,
8801-1,Knights' Attack Barge,Historical,Castle,Knights' Kingdom II,2005.0,172.0,2.0,/inventories/8801-1,/minifigs/inset-8801-1,,30.0,10.0,4.3,4.0,,Normal,Box
8802-1,Dark Fortress Landing,Historical,Castle,Knights' Kingdom II,2005.0,142.0,2.0,/inventories/8802-1,/minifigs/inset-8802-1,,57.0,26.0,4.0,2.0,,Normal,Box
8873-1,Fireball Catapult,Historical,Castle,Knights' Kingdom II,2005.0,46.0,2.0,/inventories/8873-1,/minifigs/inset-8873-1,8.0,19.0,8.0,4.2,6.0,,Normal,Box
8874-1,Battle Wagon,Historical,Castle,Knights' Kingdom II,2005.0,129.0,3.0,/inventories/8874-1,/minifigs/inset-8874-1,20.0,50.0,21.0,4.0,6.0,,Normal,Box
8875-1,King's Siege Tower,Historical,Castle,Knights' Kingdom II,2005.0,135.0,4.0,/inventories/8875-1,/minifigs/inset-8875-1,20.0,52.0,21.0,4.3,4.0,,Normal,Box
8876-1,Scorpion Prison Cave,Historical,Castle,Knights' Kingdom II,2005.0,280.0,5.0,/inventories/8876-1,/minifigs/inset-8876-1,40.0,60.0,35.0,4.8,4.0,,Normal,Box
8877-1,Vladek's Dark Fortress,Historical,Castle,Knights' Kingdom II,2005.0,967.0,9.0,/inventories/8877-1,/minifigs/inset-8877-1,99.99,202.0,112.0,4.9,11.0,,Normal,Box
9024-1,LEGO Soft Imagination Set,Educational,Education,,2005.0,74.0,0.0,,,240.0,,,,,,Normal,
9231-1,Playhouse Set,Educational,Education,Duplo,2005.0,105.0,4.0,/inventories/9231-1,/minifigs/inset-9231-1,69.0,,,,,,Normal,
9232-1,Hospital Set,Educational,Education,Duplo,2005.0,100.0,7.0,/inventories/9232-1,/minifigs/inset-9232-1,64.0,,,,,,Normal,
9233-1,Farm Set,Educational,Education,Duplo,2005.0,98.0,4.0,/inventories/9233-1,/minifigs/inset-9233-1,,,,,,,Normal,
9234-1,Dolls Family Set,Educational,Education,Duplo,2005.0,76.0,6.0,/inventories/9234-1,/minifigs/inset-9234-1,89.0,,,,,,Normal,
9236-1,Garden Set,Educational,Education,Duplo,2005.0,37.0,4.0,/inventories/9236-1,/minifigs/inset-9236-1,26.0,90.0,,,,,Normal,
9237-1,Garage Set,Educational,Education,Duplo,2005.0,44.0,1.0,/inventories/9237-1,/minifigs/inset-9237-1,26.0,,,,,,Normal,
9238-1,Farm Animals Set,Educational,Education,Duplo,2005.0,43.0,1.0,/inventories/9238-1,/minifigs/inset-9238-1,,,,,,,Normal,
9239-1,Stable Set,Educational,Education,Duplo,2005.0,46.0,2.0,/inventories/9239-1,/minifigs/inset-9239-1,,,,,,,Normal,
9247-1,Community Workers,Educational,Education,,2005.0,202.0,31.0,,/minifigs/inset-9247-1,49.99,86.0,,5.0,1.0,,Normal,
9543-1,Let's Play Maths,Educational,Education,,2005.0,124.0,0.0,/inventories/9543-1,,80.0,84.0,,,,,Normal,
9544-1,Maths Machines,Educational,Education,,2005.0,555.0,2.0,/inventories/9544-1,/minifigs/inset-9544-1,100.0,100.0,,,,,Normal,
9545-1,Numbers Set,Educational,Education,,2005.0,144.0,0.0,/inventories/9545-1,,57.0,,,,,,Normal,
9546-1,Mosaics Set,Educational,Education,,2005.0,260.0,0.0,/inventories/9546-1,,69.0,,,,,,Normal,
9547-1,Letters Set,Educational,Education,,2005.0,146.0,0.0,/inventories/9547-1,,59.0,,92.0,,,,Normal,
9762-1,FIRST LEGO League Challenge 2005 - Ocean Odyssey,Educational,Education,FIRST LEGO League,2005.0,,0.0,,,,,,,,,Normal,
10133-1,Burlington Northern Santa Fe (BNSF) Locomotive,Modern day,Trains,9V,2005.0,407.0,2.0,/inventories/10133-1,/minifigs/inset-10133-1,40.0,349.0,186.0,5.0,5.0,,Normal,Box
10143-1,Death Star II,Licensed,Star Wars,Ultimate Collector Series,2005.0,3441.0,0.0,/inventories/10143-1,,269.99,1068.0,726.0,4.4,7.0,,Normal,Box
10144-1,Sandcrawler,Licensed,Star Wars,Episode IV,2005.0,1669.0,11.0,/inventories/10144-1,/minifigs/inset-10144-1,139.99,375.0,184.0,4.7,22.0,,Normal,Box
10168-1,Mrs. Bunny,Miscellaneous,Seasonal,Easter,2005.0,61.0,0.0,/inventories/10168-1,,3.99,10.0,5.0,,,,Normal,Polybag
10169-1,Chicken & Chicks,Miscellaneous,Seasonal,Easter,2005.0,57.0,0.0,/inventories/10169-1,,3.99,8.0,3.0,1.0,1.0,,Normal,Polybag
10170-1,TTX Intermodal Double-Stack Car,Modern day,Trains,9V,2005.0,366.0,0.0,/inventories/10170-1,,40.0,226.0,122.0,5.0,3.0,,Normal,Box
10203-1,Voporak,Constraction,Bionicle,Warriors,2005.0,647.0,0.0,/inventories/10203-1,,50.0,182.0,121.0,,,,Collection,
65573-1,Rumble Racers,Racing,Racers,Product Collection,2005.0,310.0,0.0,,,,,,,,,Collection,Box
65813-1,Bonus/Value Pack,Constraction,Bionicle,Product Collection,2005.0,264.0,0.0,,,,100.0,,,,,Collection,
65824-1,Bonus/Value Pack,Historical,Castle,Product Collection,2005.0,173.0,0.0,,,,,,,,,Collection,
65825-1,Bonus/Value Pack,Historical,Castle,Product Collection,2005.0,264.0,0.0,,,,,,,,,Collection,
65826-1,Bonus/Value Pack,Racing,Racers,Product Collection,2005.0,380.0,0.0,,,,,,,,,Collection,
65828-1,Bonus/Value Pack,Licensed,Star Wars,Product Collection,2005.0,244.0,0.0,,,,,,,,,Collection,
65829-1,Bonus/Value Pack,Constraction,Bionicle,Product Collection,2005.0,426.0,0.0,,,,,,,,,Collection,
65830-1,Bonus/Value Pack,Constraction,Bionicle,Product Collection,2005.0,96.0,0.0,,,,,,,,,Collection,
65838-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,335.0,0.0,,,,,,,,,Collection,
65844-1,Bonus/Value Pack,Licensed,Star Wars,Product Collection,2005.0,280.0,0.0,,,,,,,,,Collection,
65845-1,Bonus/Value Pack,Licensed,Star Wars,Product Collection,2005.0,371.0,0.0,,,,,,,,,Collection,
65849-1,Bionicle Co-pack,Constraction,Bionicle,Product Collection,2005.0,401.0,0.0,,,,,,,,,Collection,
65851-1,Knights' Kingdom Co-pack,Historical,Castle,Product Collection,2005.0,280.0,0.0,,,,,,,,,Collection,Box
66069-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,126.0,0.0,,,,,,,,,Collection,
66070-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,121.0,0.0,,,,,,,,,Collection,
66107-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,260.0,0.0,,,,,,,,,Collection,
66138-1,Toa Hordika Super Pack 6-in-1,Constraction,Bionicle,Product Collection,2005.0,288.0,0.0,,,,,,,,,Collection,Box
66139-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,208.0,0.0,,,,,,,,,Collection,
66171-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,121.0,0.0,,,,,,,,,Collection,
66180-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,126.0,0.0,,,,,,,,,Collection,
66182-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,335.0,0.0,,,,,,,,,Collection,
66183-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,185.0,0.0,,,,,,,,,Collection,
66185-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,126.0,0.0,,,,,,,,,Collection,
66190-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,208.0,0.0,,,,,,,,,Collection,
66244-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,87.0,0.0,,,,,,,,,Collection,
66245-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,99.0,0.0,,,,,,,,,Collection,
66249-1,Bonus/Value Pack,Modern day,City,Product Collection,2005.0,87.0,0.0,,,,,,,,,Collection,
850352-3,Snowtrooper,Miscellaneous,Gear,Key Chains/Star Wars,2005.0,,0.0,,,,,,,,,Gear,
850353-2,Darth Vader,Miscellaneous,Gear,Key Chains/Star Wars,2005.0,,0.0,,,,,,,,,Gear,
850354-1,Yoda,Miscellaneous,Gear,Key Chains/Star Wars,2005.0,,0.0,,,,,,,,,Gear,
851036-1,Ghost Key Chain,Miscellaneous,Gear,Key Chains/Castle,2005.0,,0.0,,,,,,,,,Gear,
851091-1,R2-D2,Miscellaneous,Gear,Key Chains/Star Wars,2005.0,,0.0,,,4.99,,,,,,Gear,
851210-1,Lord Vladek Sword,Miscellaneous,Gear,Role-play toys,2005.0,,0.0,,,,,,,,,Gear,
851211-1,Lord Jayko Sword,Miscellaneous,Gear,Role-play toys,2005.0,,0.0,,,,,,,,,Gear,
851212-1,Lord Jayko Shield,Miscellaneous,Gear,Role-play toys,2005.0,,0.0,,,,,,,,,Gear,
851213-1,Lord Vladek Shield,Miscellaneous,Gear,Role-play toys,2005.0,,0.0,,,,,,,,,Gear,
851461-1,Obi-Wan Kenobi,Miscellaneous,Gear,Key Chains/Star Wars,2005.0,,0.0,,,,,,,,,Gear,
851499-1,Knights' Kingdom Chess Set,Miscellaneous,Gear,Board Games,2005.0,,0.0,,,49.99,,,5.0,1.0,,Gear,
4227848-1,Hermione Key Chain,Miscellaneous,Gear,Key Chains/Harry Potter,2005.0,,0.0,,,,,,,,,Gear,
4227857-1,Hagrid Key Chain,Miscellaneous,Gear,Key Chains/Harry Potter,2005.0,,0.0,,,,,,,,,Gear,
4250349-1,Knights' Kingdom Watch,Miscellaneous,Gear,Watches/Clocks,2005.0,,0.0,,,,,,4.5,2.0,,Gear,
4271003-1,Toa Hordika Watch,Miscellaneous,Gear,Watches/Clocks,2005.0,,0.0,,,,,,,,,Gear,
4271170-1,Yoda Carabiner Pen,Miscellaneous,Gear,Pens,2005.0,,0.0,,,,,,,,,Gear,
4271174-1,R2-D2 Carabiner Pen,Miscellaneous,Gear,Pens,2005.0,,0.0,,,,,,,,,Gear,
4271396-1,Heart Carabiner Pen,Miscellaneous,Gear,Pens,2005.0,,0.0,,,,,,,,,Gear,
4277206-1,Letters & Keyring,Girls,Clikits,,2005.0,70.0,0.0,,,,10.0,,,,,Extended,
4277613-1,Kitchen Timer,Miscellaneous,Gear,Housewares,2005.0,,0.0,,,7.99,,,5.0,1.0,,Gear,
4277645-1,Ice Bricks,Miscellaneous,Gear,Housewares,2005.0,,0.0,,,,,,,,,Gear,
4285957-1,Santa Carabiner Pen,Miscellaneous,Gear,Pens,2005.0,,0.0,,,,,,,,,Gear,
4285968-1,Dirt Crusher Transformation Kit,Racing,Racers,Radio-Control,2005.0,48.0,0.0,/inventories/4285968-1,,,,,5.0,1.0,,Extended,Blister pack
4285969-1,Dirt Crusher Transformation Kit,Racing,Racers,Radio-Control,2005.0,48.0,0.0,/inventories/4285969-1,,,,,,,,Extended,Blister pack
4285970-1,Dirt Crusher Transformation Kit,Racing,Racers,Radio-Control,2005.0,48.0,0.0,/inventories/4285970-1,,,20.0,,,,,Extended,Blister pack
4286013-1,Dirt Crusher Big Wheels Pack,Racing,Racers,Radio-Control,2005.0,10.0,0.0,/inventories/4286013-1,,,41.0,,,,,Extended,Blister pack
4286024-1,Dirt Crusher Big Wheels Pack,Racing,Racers,Radio-Control,2005.0,10.0,0.0,/inventories/4286024-1,,,41.0,,,,,Extended,Blister pack
4286025-1,Dirt Crusher Big Wheels Pack,Racing,Racers,Radio-Control,2005.0,10.0,0.0,/inventories/4286025-1,,,41.0,,,,,Extended,Blister pack
4286784-1,Dirt Crusher Gearbox with Light,Racing,Racers,Radio-Control,2005.0,6.0,0.0,/inventories/4286784-1,,,,,,,,Extended,Blister pack
4287082-1,Dirt Crusher Antenna Pack,Racing,Racers,Radio-Control,2005.0,10.0,0.0,,,,,,,,,Extended,Polybag
CDB25-1,From the LEGO Vaults CD-Rom,Miscellaneous,Gear,Digital media,2005.0,,0.0,,,,,,4.0,1.0,,Gear,
DC1-1,Commemorative Limited Edition Batman Announcement ,Licensed,Batman,,2005.0,13.0,2.0,,/minifigs/inset-DC1-1,,797.0,300.0,,,,Other,Box
GBA381-1,LEGO Star Wars: The Video Game,Miscellaneous,Gear,Video Games/Game Boy Advance,2005.0,,0.0,,,,,,2.8,8.0,,Gear,
GBA685-1,BIONICLE: Maze of Shadows,Miscellaneous,Gear,Video Games/Game Boy Advance,2005.0,,0.0,,,,,,3.0,1.0,,Gear,
GC383-1,LEGO Star Wars: The Video Game,Miscellaneous,Gear,Video Games/Gamecube,2005.0,,0.0,,,,,,5.0,2.0,,Gear,
ISBN1593270542-1,The Unofficial LEGO Builder's Guide 1st edition,Miscellaneous,Books,No Starch Press,2005.0,,0.0,,,,,,5.0,1.0,,Book,
K2226-1,CLIKITS Bedcovers Set,Miscellaneous,Gear,Bedding,2005.0,,0.0,,,,,,,,,Gear,
KCP04-1,Nvidia Female Minifigure Key Chain,Miscellaneous,Gear,Key Chains/Promotional,2005.0,,0.0,,,,,,,,,Gear,None (loose parts)
KCP05-1,Nvidia Male Minifigure Key Chain,Miscellaneous,Gear,Key Chains/Promotional,2005.0,,0.0,,,,,,,,,Gear,None (loose parts)
